Package Name	Version	Top-level Module	Apt_version
blinker	1.4	blinker	1.4+dfsg1-0.3ubuntu1
blist	1.3.6	blist	1.3.6-6build2
blockdev	#	#	2.23-2ubuntu3
blockdiag	1.5.3	blockdiag	1.5.3+dfsg-5.3
bloom	0.9.1	bloom	0.9.1-1
blosc	1.7.0	blosc	1.7.0+ds1-2ubuntu2
bluez	#	#	0.22+really0.22-1build2
boltons	19.1.0	boltons	19.1.0-2
bond	$	bond	1.8.3-2ubuntu1
bondpy	$	bondpy	1.8.3-2ubuntu1
booleanoperations	0.9.0	#	0.9.0-1
bootstrapform	3.4	bootstrapform	3.4-3
botan	#	#	2.12.1-2build1
boto3	1.9.253	boto3	1.9.253-1
boto	2.49.0	boto	2.49.0-2.1
botocore	1.16.19	botocore	1.16.19+repack-1ubuntu0.20.04.1
bottle-beaker	0.1.3	bottle_beaker	0.1.3-3
bottle-cork	0.12.0	#	0.12.0-4
bottle-sqlite	0.1.3	bottle_sqlite	0.1.3-3
bottle	0.12.15	bottle	0.12.15-2.1ubuntu0.2
bottleneck-dbg	#	#	1.2.1+ds1-2build2
bottleneck	1.2.1	bottleneck	1.2.1+ds1-2build2
bpfcc	#	#	0.12.0-2
braceexpand	0.1.5	braceexpand	0.1.5-1
braintree	3.57.1	braintree	3.57.1-1
branca	0.3.1	branca	0.3.1-4
breathe	4.12.0	breathe	4.12.0-3
breezy.tests	$	breezy	3.0.2-4ubuntu2
breezy	3.0.2	breezy	3.0.2-4ubuntu2
brial	1.0.2	#	1.2.7-1build1
brlapi	0.7.0	brlapi	6.0+dfsg-4ubuntu6
broccoli	#	#	0.63-1.1build1
brotli	1.0.7	brotli	1.0.7-6ubuntu0.1
brotli	1.0.7	brotli	1.0.7-6ubuntu0.1
bs4	4.8.2	bs4	4.8.2-1
bsddb3-dbg	#	#	6.2.7-1.1
bsddb3	6.2.7	bsddb3	6.2.7-1.1
bson-ext	#	#	3.10.1-0ubuntu2
bson	$	bson	3.10.1-0ubuntu2
bst-external	$	bst_external	0.18.0-1
btchip	$	btchip	0.1.24-1.1
btrees	4.3.1	#	4.3.1-2build2
btrfs	11	btrfs	11-2
btrfsutil	1.1.1	btrfsutil	5.4.1-2
btrfsutil	1.1.1	btrfsutil	5.4.1-2
bugzilla	2.3.0	bugzilla	2.3.0-1
buildbot-doc	#	#	2.6.0-1
buildbot-worker	2.6.0	buildbot_worker	2.6.0-1
buildbot	2.6.0-1	buildbot	2.6.0-1
buildstream	1.4.1	buildstream	1.4.1-1
bumps	0.7.14	bumps	0.7.14-1
bx	0.8.8	bx	0.8.8-1build1
bytesize	$	bytesize	2.2-1
bytesize	$	bytesize	2.2-1
bz2file	0.98	bz2file	0.98-3
cachecontrol	0.12.6	cachecontrol	0.12.6-1ubuntu2
cached-property	1.5.1	cached_property	1.5.1-4
cachetools	4.0.0	cachetools	4.0.0-1
caffe-cpu	#	#	1.0.0+git20180821.99bd997-5build3
cairo-dbg	#	#	1.16.2-2ubuntu2
cairo-dbg	#	#	1.16.2-2ubuntu2
cairo-dev	#	#	1.16.2-2ubuntu2
cairo-doc	#	#	1.16.2-2ubuntu2
cairo	$	cairo	1.16.2-2ubuntu2
cairo	$	cairo	1.16.2-2ubuntu2
cairocffi	0.9.0	cairocffi	0.9.0-4
cairosvg	2.4.2	cairosvg	2.4.2-1
caja	#	#	1.24.0-2
caldav	0.6.1	caldav	0.6.1+repack1-1
camera-calibration-parsers	$	camera_calibration_parsers	1.11.13-6build2
can	3.3.2	can	3.3.2.final~github-2
canmatrix	0+unknown	canmatrix	0.9.1~github-1
canonicaljson	1.1.4	canonicaljson	1.1.4-3
cap-ng	#	#	0.7.9-2.1build1
cap-ng	#	#	0.7.9-2.1build1
capstone	3.0.5	capstone	4.0.1+really+3.0.5-1build1
cartopy	0.17.0	cartopy	0.17.0+dfsg-9
casacore	3.2.0	casacore	3.2.0-2build2
case	1.5.3	case	1.5.3+dfsg-3
cassandra-doc	#	#	3.20.2-2build1
cassandra	3.20.2	cassandra	3.20.2-2build1
castellan	3.0.1	castellan	3.0.1-0ubuntu1
catkin-lint	#	#	1.6.6-1
catkin-pkg	0.4.16	catkin_pkg	0.4.16-1
catkin	$	catkin	0.8.0-1ubuntu2
cbor	1.0.0	cbor	1.0.0-1.1build1
cccolutils	1.4	cccolutils	1.4-2build2
ccdproc	2.1.0	ccdproc	2.1.0-2
cclib	1.6.1	cclib	1.6.2-2
cdiff	1.0	cdiff	1.0-1.1
cdio	$	cdio	2.1.0-1build1
cdo	1.5.3	cdo	1.5.3-1
cec	$	cec	4.0.4+dfsg1-4ubuntu3
ceilometer	14.1.0	ceilometer	1:14.1.0-0ubuntu1
ceilometerclient	2.9.0	ceilometerclient	2.9.0-0ubuntu3
ceilometermiddleware	2.0.0	ceilometermiddleware	2.0.0-0ubuntu1
celery-batches	0.2	celery_batches	0.2-1
celery	4.2.1	celery	4.2.1-5ubuntu1
cement	2.10.0	cement	2.10.0-2
ceph-argparse	$	ceph_argparse	15.2.17-0ubuntu0.20.04.1
ceph-common	#	#	15.2.17-0ubuntu0.20.04.1
ceph	#	#	15.2.17-0ubuntu0.20.04.1
cephfs	2.0.0	cephfs	15.2.17-0ubuntu0.20.04.1
cerberus	1.3.2	cerberus	1.3.2-1
cerealizer	0.8.1	cerealizer	0.8.1-3build1
certbot-apache	0.39.0	certbot_apache	0.39.0-1
certbot-dns-cloudflare	0.39.0	certbot_dns_cloudflare	0.39.0-1
certbot-dns-digitalocean	0.23.0	certbot_dns_digitalocean	0.23.0-2
certbot-dns-dnsimple	0.31.0	certbot_dns_dnsimple	0.31.0-1
certbot-dns-gandi	#	#	1.2.5-2
certbot-dns-gehirn	0.31.0	certbot_dns_gehirn	0.31.0-1
certbot-dns-google	0.23.0	certbot_dns_google	0.23.0-2
